row,col,lat,lon,mf_score
19,326,32.98912204865357,-103.86646447356854,0.2544133256813866
19,327,32.989061231164115,-103.86608662017042,0.314889486050303
20,326,32.988767330564336,-103.86654959867252,0.499346515210246
20,327,32.98870647550671,-103.86617442809259,0.6483513771520815
20,328,32.988645647555664,-103.86579659803151,0.30923485580122595
21,326,32.988410557846336,-103.86663550546855,0.3262167995257212
21,327,32.98834977241967,-103.86625450493516,0.3248378641197857
21,328,32.98828894302369,-103.86587651790443,0.1469969140030514
23,568,32.97278591206478,-103.7760433763762,0.12001963443534854
32,18,33.00292077442572,-103.98549156200744,0.31234869981388574
33,18,33.00256521096976,-103.98557368674922,0.25377813750121614
48,22,32.99701570112077,-103.98532089526117,0.2932544485475381
49,22,32.996664735466446,-103.9854134307301,0.24774811619387135
49,23,32.996605804082556,-103.9850281780347,0.26220498463990494
50,22,32.99631375715771,-103.98550236721361,0.23455327204925905
50,23,32.99625482348173,-103.98511771140346,0.31671929860646236
50,24,32.99619588238219,-103.98473307721356,0.1692357691283024
51,23,32.99590384923951,-103.98520930979572,0.3816554568823243
51,24,32.99584490234899,-103.98482426639507,0.1875919437368584
52,23,32.99555286826318,-103.98529919305948,0.37997134108784336
52,24,32.995493918533036,-103.98491456456229,0.17553791007545902
56,24,32.99408998299964,-103.9852775512504,0.3142984126987694
57,24,32.9937389898569,-103.98536650177098,0.3463104160220255
57,25,32.993680011207424,-103.98498190961597,0.17141340183714857
58,24,32.99338801133646,-103.98545905058552,0.2476238676062793
58,25,32.99332902830394,-103.98507446079206,0.23987937232494883
59,24,32.993037016458246,-103.98554800320049,0.16256792138886972
59,25,32.99297802917602,-103.98516341671882,0.2661834874513526
60,24,32.992686020493046,-103.98563695691183,0.17989160267321277
60,25,32.99262702896091,-103.98525237374055,0.3119112342009016
61,24,32.992335040481265,-103.98572950862017,0.14510405884849348
61,25,32.9922760445655,-103.9853449278063,0.33261559667104457
62,25,32.991925042622434,-103.98543388691807,0.36996656862556543
63,25,32.99157405738639,-103.98552644287628,0.2043492243156121
63,566,32.95868937199441,-103.78028819462364,0.22045363689143932
63,567,32.95862692518574,-103.77991467262697,0.2352976354592858
64,566,32.95833603472093,-103.78038079042413,0.11040664956136921
64,567,32.958273571688316,-103.78000792142723,0.13950890768810648
90,32,32.981677715756646,-103.98526358411267,0.43130015698147584
108,36,32.975128194692005,-103.98527818933239,0.24880076706336265
